ID,Rep,Name,Value,Promoter,Context,Gene.type.integer,Promoter.integer
1,MA30,HR5.IE1.KrSV40,21.02819,Hr5,Kozak_SV40,1,1
2,MA30,HR5.IE1.KrSV40,16.92839,Hr5,Kozak_SV40,1,1
3,MA30,HR5.IE1.KrSV40,20.32406,Hr5,Kozak_SV40,1,1
4,MA30,HR5.IE1.KrSV40,13.57508,Hr5,Kozak_SV40,1,1
5,MA30,HR5.IE1.KrSV40,18.42325,Hr5,Kozak_SV40,1,1
6,MA30,HR5.IE1.KrSV40,12.85136,Hr5,Kozak_SV40,1,1
7,MA30,HR5.IE1.KrSV40,15.4781,Hr5,Kozak_SV40,1,1
8,MA30,HR5.IE1.KrSV40,20.42363,Hr5,Kozak_SV40,1,1
9,MA34,HR5.IE1.KrSV40,17.613,Hr5,Kozak_SV40,1,1
10,MA34,HR5.IE1.KrSV40,14.45574,Hr5,Kozak_SV40,1,1
11,MA34,HR5.IE1.KrSV40,10.52282,Hr5,Kozak_SV40,1,1
12,MA34,HR5.IE1.KrSV40,10.82219,Hr5,Kozak_SV40,1,1
13,MA34,HR5.IE1.KrSV40,11.06459,Hr5,Kozak_SV40,1,1
14,MA34,HR5.IE1.KrSV40,11.94283,Hr5,Kozak_SV40,1,1
15,MA34,HR5.IE1.KrSV40,10.48681,Hr5,Kozak_SV40,1,1
16,MA34,HR5.IE1.KrSV40,12.82791,Hr5,Kozak_SV40,1,1
17,MA37,HR5.IE1.KrSV40,16.43486,Hr5,Kozak_SV40,1,1
18,MA37,HR5.IE1.KrSV40,16.20088,Hr5,Kozak_SV40,1,1
19,MA37,HR5.IE1.KrSV40,19.93108,Hr5,Kozak_SV40,1,1
20,MA37,HR5.IE1.KrSV40,17.56674,Hr5,Kozak_SV40,1,1
21,MA37,HR5.IE1.KrSV40,16.30462,Hr5,Kozak_SV40,1,1
22,MA37,HR5.IE1.KrSV40,15.44687,Hr5,Kozak_SV40,1,1
23,MA37,HR5.IE1.KrSV40,12.79874,Hr5,Kozak_SV40,1,1
24,MA37,HR5.IE1.KrSV40,9.785981,Hr5,Kozak_SV40,1,1
25,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
26,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
27,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
28,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
29,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
30,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
31,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
32,,HR5.IE1.KrSV40,,Hr5,Kozak_SV40,1,1
33,MA30,AePub.KSV40,99.4282,AePUb,Kozak_SV40,1,2
34,MA30,AePub.KSV40,60.49402,AePUb,Kozak_SV40,1,2
35,MA30,AePub.KSV40,57.8762,AePUb,Kozak_SV40,1,2
36,MA30,AePub.KSV40,38.09584,AePUb,Kozak_SV40,1,2
37,MA30,AePub.KSV40,63.55578,AePUb,Kozak_SV40,1,2
38,MA30,AePub.KSV40,59.04895,AePUb,Kozak_SV40,1,2
39,MA30,AePub.KSV40,54.51717,AePUb,Kozak_SV40,1,2
40,MA30,AePub.KSV40,64.34936,AePUb,Kozak_SV40,1,2
41,MA34,AePub.KSV40,35.18492,AePUb,Kozak_SV40,1,2
42,MA34,AePub.KSV40,41.09664,AePUb,Kozak_SV40,1,2
43,MA34,AePub.KSV40,31.68209,AePUb,Kozak_SV40,1,2
44,MA34,AePub.KSV40,25.56488,AePUb,Kozak_SV40,1,2
45,MA34,AePub.KSV40,25.07924,AePUb,Kozak_SV40,1,2
46,MA34,AePub.KSV40,22.70116,AePUb,Kozak_SV40,1,2
47,MA34,AePub.KSV40,28.24717,AePUb,Kozak_SV40,1,2
48,MA34,AePub.KSV40,27.75159,AePUb,Kozak_SV40,1,2
49,MA37,AePub.KSV40,27.98012,AePUb,Kozak_SV40,1,2
50,MA37,AePub.KSV40,28.15246,AePUb,Kozak_SV40,1,2
51,MA37,AePub.KSV40,25.56306,AePUb,Kozak_SV40,1,2
52,MA37,AePub.KSV40,25.00352,AePUb,Kozak_SV40,1,2
53,MA37,AePub.KSV40,19.20306,AePUb,Kozak_SV40,1,2
54,MA37,AePub.KSV40,19.74119,AePUb,Kozak_SV40,1,2
