ID,Rep,Name,Value,Promoter,Context,Gene.type.integer,Promoter.integer
1,MA30,HR5.IE1.KrSV40,10.61977,Hr5,Kozak_SV40,1,1
2,MA30,HR5.IE1.KrSV40,13.34195,Hr5,Kozak_SV40,1,1
3,MA30,HR5.IE1.KrSV40,6.580419,Hr5,Kozak_SV40,1,1
4,MA30,HR5.IE1.KrSV40,11.26125,Hr5,Kozak_SV40,1,1
5,MA30,HR5.IE1.KrSV40,6.767013,Hr5,Kozak_SV40,1,1
6,MA30,HR5.IE1.KrSV40,5.465007,Hr5,Kozak_SV40,1,1
7,MA30,HR5.IE1.KrSV40,7.227113,Hr5,Kozak_SV40,1,1
8,MA30,HR5.IE1.KrSV40,11.547,Hr5,Kozak_SV40,1,1
9,MA34,HR5.IE1.KrSV40,12.92951,Hr5,Kozak_SV40,1,1
10,MA34,HR5.IE1.KrSV40,10.8944,Hr5,Kozak_SV40,1,1
11,MA34,HR5.IE1.KrSV40,12.35976,Hr5,Kozak_SV40,1,1
12,MA34,HR5.IE1.KrSV40,11.01449,Hr5,Kozak_SV40,1,1
13,MA34,HR5.IE1.KrSV40,8.572169,Hr5,Kozak_SV40,1,1
14,MA34,HR5.IE1.KrSV40,7.447972,Hr5,Kozak_SV40,1,1
15,MA34,HR5.IE1.KrSV40,8.388333,Hr5,Kozak_SV40,1,1
16,MA34,HR5.IE1.KrSV40,9.47651,Hr5,Kozak_SV40,1,1
17,MA37,HR5.IE1.KrSV40,22.909,Hr5,Kozak_SV40,1,1
18,MA37,HR5.IE1.KrSV40,19.59729,Hr5,Kozak_SV40,1,1
19,MA37,HR5.IE1.KrSV40,16.90423,Hr5,Kozak_SV40,1,1
20,MA37,HR5.IE1.KrSV40,13.81582,Hr5,Kozak_SV40,1,1
21,MA37,HR5.IE1.KrSV40,12.8994,Hr5,Kozak_SV40,1,1
22,MA37,HR5.IE1.KrSV40,12.07598,Hr5,Kozak_SV40,1,1
23,MA37,HR5.IE1.KrSV40,12.76891,Hr5,Kozak_SV40,1,1
24,MA37,HR5.IE1.KrSV40,22.78234,Hr5,Kozak_SV40,1,1
25,MA30,AePub.KSV40,3.497231,AePUb,Kozak_SV40,1,2
26,MA30,AePub.KSV40,4.41241,AePUb,Kozak_SV40,1,2
27,MA30,AePub.KSV40,2.365688,AePUb,Kozak_SV40,1,2
28,MA30,AePub.KSV40,3.934231,AePUb,Kozak_SV40,1,2
29,MA30,AePub.KSV40,3.381451,AePUb,Kozak_SV40,1,2
30,MA30,AePub.KSV40,3.998675,AePUb,Kozak_SV40,1,2
31,MA30,AePub.KSV40,4.15904,AePUb,Kozak_SV40,1,2
32,MA30,AePub.KSV40,5.453106,AePUb,Kozak_SV40,1,2
33,MA34,AePub.KSV40,2.956693,AePUb,Kozak_SV40,1,2
34,MA34,AePub.KSV40,3.957394,AePUb,Kozak_SV40,1,2
35,MA34,AePub.KSV40,2.81848,AePUb,Kozak_SV40,1,2
36,MA34,AePub.KSV40,2.901246,AePUb,Kozak_SV40,1,2
37,MA34,AePub.KSV40,2.571832,AePUb,Kozak_SV40,1,2
38,MA34,AePub.KSV40,2.297644,AePUb,Kozak_SV40,1,2
39,MA34,AePub.KSV40,2.543656,AePUb,Kozak_SV40,1,2
40,MA34,AePub.KSV40,3.86267,AePUb,Kozak_SV40,1,2
41,MA37,AePub.KSV40,9.989926,AePUb,Kozak_SV40,1,2
42,MA37,AePub.KSV40,8.081542,AePUb,Kozak_SV40,1,2
43,MA37,AePub.KSV40,7.44851,AePUb,Kozak_SV40,1,2
44,MA37,AePub.KSV40,6.046762,AePUb,Kozak_SV40,1,2
45,MA37,AePub.KSV40,4.674049,AePUb,Kozak_SV40,1,2
46,MA37,AePub.KSV40,6.171079,AePUb,Kozak_SV40,1,2
47,MA37,AePub.KSV40,5.364719,AePUb,Kozak_SV40,1,2
48,MA37,AePub.KSV40,6.808355,AePUb,Kozak_SV40,1,2
49,MA30,AePub.LP10,15.91732,AePUb,Lep_P10,2,2
50,MA30,AePub.LP10,18.21566,AePUb,Lep_P10,2,2
51,MA30,AePub.LP10,24.26069,AePUb,Lep_P10,2,2
52,MA30,AePub.LP10,20.71352,AePUb,Lep_P10,2,2
53,MA30,AePub.LP10,17.59618,AePUb,Lep_P10,2,2
