ID,Promoter_ID,Promoter,Cell_Line,Value,Context,UTR,Cell_Line_Integer,Context_UTR
1,1,AGG1186,Aag2..Ae..aegypti.,75.27,Kozak,SV40,1,Kozak SV40
2,2,AGG1187,Aag2..Ae..aegypti.,72.36,Lep,SV40,1,Lep SV40
3,3,AGG1188,Aag2..Ae..aegypti.,50.6,BmHi,SV40,1,BmHi SV40
4,4,AGG1189,Aag2..Ae..aegypti.,11.51,BmLo,SV40,1,BmLo SV40
5,5,AGG1190,Aag2..Ae..aegypti.,24.9,Syn21,SV40,1,Syn21 SV40
6,6,AGG1191,Aag2..Ae..aegypti.,22.88,Kozak,K10,1,Kozak K10
7,7,AGG1192,Aag2..Ae..aegypti.,44.47,Lep,K10,1,Lep K10
8,8,AGG1193,Aag2..Ae..aegypti.,34.47,BmHi,K10,1,BmHi K10
9,9,AGG1194,Aag2..Ae..aegypti.,8.18,BmLo,K10,1,BmLo K10
10,10,AGG1195,Aag2..Ae..aegypti.,14.18,Syn21,K10,1,Syn21 K10
11,11,AGG1196,Aag2..Ae..aegypti.,,Kozak,P10,1,Kozak P10
12,12,AGG1197,Aag2..Ae..aegypti.,215.18,Lep,P10,1,Lep P10
13,13,AGG1198,Aag2..Ae..aegypti.,123.26,BmHi,P10,1,BmHi P10
14,14,AGG1199,Aag2..Ae..aegypti.,63.79,BmLo,P10,1,BmLo P10
15,15,AGG1200,Aag2..Ae..aegypti.,49.88,Syn21,P10,1,Syn21 P10
16,1,AGG1186,Aag2..Ae..aegypti.,42.65,Kozak,SV40,1,Kozak SV40
17,2,AGG1187,Aag2..Ae..aegypti.,50.71,Lep,SV40,1,Lep SV40
18,3,AGG1188,Aag2..Ae..aegypti.,39.65,BmHi,SV40,1,BmHi SV40
19,4,AGG1189,Aag2..Ae..aegypti.,12.3,BmLo,SV40,1,BmLo SV40
20,5,AGG1190,Aag2..Ae..aegypti.,22.46,Syn21,SV40,1,Syn21 SV40
21,6,AGG1191,Aag2..Ae..aegypti.,23.64,Kozak,K10,1,Kozak K10
22,7,AGG1192,Aag2..Ae..aegypti.,36.64,Lep,K10,1,Lep K10
23,8,AGG1193,Aag2..Ae..aegypti.,41.21,BmHi,K10,1,BmHi K10
24,9,AGG1194,Aag2..Ae..aegypti.,8.35,BmLo,K10,1,BmLo K10
25,10,AGG1195,Aag2..Ae..aegypti.,13.18,Syn21,K10,1,Syn21 K10
